1.Wake Up Animal.
wake up - Cathy, Cat, Animal: wake up
wake up - Chloe, Cat, Animal: wake up
wake up - Tom, Tiger, Animal: wake up
wake up - Tea, Tiger, Animal: wake up
wake up - Lexie, Lion, Animal: wake up
wake up - Lemon, Lion, Animal: wake up
wake up - Woody, Wolf, Animal: wake up
wake up - Wendy, Wolf, Animal: wake up
wake up - Danny, Dog, Animal: wake up
wake up - Denver, Dog, Animal: wake up
wake up - Harry, Hippo, Animal: wake up
wake up - Hilton, Hippo, Animal: wake up
wake up - Ella, Elephant, Animal: wake up
wake up - Emma, Elephant, Animal: wake up
wake up - Ray, Rhino, Animal: wake up
wake up - Roosevelt, Rhino, Animal: wake up

2. Roll Call Animal.
roll call - Cathy, Cat,  Cat make noise: Meow 
roll call - Chloe, Cat,  Cat make noise: Meow 
roll call - Tom, Tiger,  Tiger make noise: Roar 
roll call - Tea, Tiger,  Tiger make noise: Roar 
roll call - Lexie, Lion,  Lion make noise: Roar 
roll call - Lemon, Lion,  Lion make noise: Roar 
roll call - Woody, Wolf, Animal: make noise. 
roll call - Wendy, Wolf, Animal: make noise. 
roll call - Danny, Dog, Animal: make noise. 
roll call - Denver, Dog, Animal: make noise. 
roll call - Harry, Hippo, Animal: make noise. 
roll call - Hilton, Hippo, Animal: make noise. 
roll call - Ella, Elephant, Animal: make noise. 
roll call - Emma, Elephant, Animal: make noise. 
roll call - Ray, Rhino, Animal: make noise. 
roll call - Roosevelt, Rhino, Animal: make noise. 

3. Feed Animal.
feed - Cathy, Cat, Cat want to eat meat. 
feed - Chloe, Cat, Cat drinks water. 
feed - Tom, Tiger,  Feline: eat. 
feed - Tea, Tiger,  Feline: eat. 
feed - Lexie, Lion,  Feline: eat. 
feed - Lemon, Lion,  Feline: eat. 
feed - Woody, Wolf, Animal: eat. 
feed - Wendy, Wolf, Animal: eat. 
feed - Danny, Dog, Animal: eat. 
feed - Denver, Dog, Animal: eat. 
feed - Harry, Hippo, Animal: eat. 
feed - Hilton, Hippo, Animal: eat. 
feed - Ella, Elephant, Animal: eat. 
feed - Emma, Elephant, Animal: eat. 
feed - Ray, Rhino, Animal: eat. 
feed - Roosevelt, Rhino, Animal: eat. 

4. Exercise Animal.
exercise - Cathy, Cat, Feline: roam. 
exercise - Chloe, Cat, Feline: roam. 
exercise - Tom, Tiger, Feline: roam. 
exercise - Tea, Tiger, Feline: roam. 
exercise - Lexie, Lion, Feline: roam. 
exercise - Lemon, Lion, Feline: roam. 
exercise - Woody, Wolf, Animal: roam. 
exercise - Wendy, Wolf, Animal: roam. 
exercise - Danny, Dog, Animal: roam. 
exercise - Denver, Dog, Animal: roam. 
exercise - Harry, Hippo, Animal: roam. 
exercise - Hilton, Hippo, Animal: roam. 
exercise - Ella, Elephant, Animal: roam. 
exercise - Emma, Elephant, Animal: roam. 
exercise - Ray, Rhino, Animal: roam. 
exercise - Roosevelt, Rhino, Animal: roam. 

5. Shut Down Zoo
shut down - Cathy, Cat, Animal: sleep.
shut down - Chloe, Cat, Animal: sleep.
shut down - Tom, Tiger, Animal: sleep.
shut down - Tea, Tiger, Animal: sleep.
shut down - Lexie, Lion, Animal: sleep.
shut down - Lemon, Lion, Animal: sleep.
shut down - Woody, Wolf, Animal: sleep.
shut down - Wendy, Wolf, Animal: sleep.
shut down - Danny, Dog, Animal: sleep.
shut down - Denver, Dog, Animal: sleep.
shut down - Harry, Hippo, Animal: sleep.
shut down - Hilton, Hippo, Animal: sleep.
shut down - Ella, Elephant, Animal: sleep.
shut down - Emma, Elephant, Animal: sleep.
shut down - Ray, Rhino, Animal: sleep.
shut down - Roosevelt, Rhino, Animal: sleep.
